date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:59	70589/70589	---M--	200	added ('OK')	image/jpeg	etag:%22f4ca3a99f29d032499e1fb60ca2f1e4e%22	https://linkiez-production.s3.amazonaws.com/users/profile_backgrounds/000/067/553/smaller/WhatsApp_Image_2019-05-17_at_5.35.35_PM.jpeg?1574737755	C:/My%20Web%20Sites/dahyn/linkiez-production.s3.amazonaws.com/users/profile_backgrounds/000/067/553/smaller/WhatsApp_Image_2019-05-17_at_5.35.35_PM06a0.jpg	(from https://tapmybio.com/dahyn1x)
13:18:59	85788/85788	---M--	200	added ('OK')	image/png	etag:%225d59d6e6-14f1c%22	https://tapmybio.com/assets/icon.light-354ba69209bb42ba0fc4982faf2432bde2b6b9d4a1110e439b8f4ca49a3f01e3.png	C:/My%20Web%20Sites/dahyn/tapmybio.com/assets/icon.light-354ba69209bb42ba0fc4982faf2432bde2b6b9d4a1110e439b8f4ca49a3f01e3.png	(from https://tapmybio.com/dahyn1x)
13:18:59	12488/12488	---MCZ	200	added ('OK')	text/html	etag:W/%22c396804fc2727ff86730eb71dd8b531d%22	https://tapmybio.com/users/dahyn1x	C:/My%20Web%20Sites/dahyn/tapmybio.com/users/dahyn1x.html	(from https://tapmybio.com/dahyn1x)
13:18:59	93/93	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:18:58%20GMT	https://tapmybio.com/links/72652/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72652/view	(from https://tapmybio.com/dahyn1x)
13:19:00	28116/28116	---M--	200	added ('OK')	image/jpeg	etag:%223053125611%22	https://ec-small.centrofiles.com/h3/Sfp6WSqpTP.TjpnnAMRUov3JWiAg.Sz4v-kwSs.B.LUBExSN82lKfbB1bYNIqfZVc4ijkm2AF6bxqTAkKIRXAEbtIbJ--KsbtIf4thtiQWq9bz0fpCb1rHkZHLT12Bax5WzSGtmR3KYeE2bSYRA3e6vEOSY-Nu6Cj9PDd8LTUMGETNk5VZgLgpyYKTRmI.Jd2ss-6L-7k52sQNW-YTJAPfIkVUeOg7fYHbYPtcrjGVTGT32NFfyTt38iM5tkuGnz3WLXE8lMYqTidsnMybm-cz1H82GpBHYaDzgFa3s6E5Q=/w320_h428l.jpg	C:/My%20Web%20Sites/dahyn/ec-small.centrofiles.com/h3/Sfp6WSqpTP.TjpnnAMRUov3JWiAg.Sz4v-kwSs.B.LUBExS/w320_h428l.jpg	(from https://tapmybio.com/dahyn1x)
13:19:00	94/94	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:18:58%20GMT	https://tapmybio.com/links/72651/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72651/view	(from https://tapmybio.com/dahyn1x)
13:19:01	13380/13380	---M--	200	added ('OK')	image/png	etag:%22a50e716b1dfbac04ea2526d57ef4f651%22	https://linkiez-production.s3.amazonaws.com/services/logos/000/000/023/thumb/onlyfans-logo.png?1534967151	C:/My%20Web%20Sites/dahyn/linkiez-production.s3.amazonaws.com/services/logos/000/000/023/thumb/onlyfans-logo4966.png	(from https://tapmybio.com/dahyn1x)
13:19:01	94/94	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:18:59%20GMT	https://tapmybio.com/links/72648/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72648/view	(from https://tapmybio.com/dahyn1x)
13:19:01	93/93	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:00%20GMT	https://tapmybio.com/links/74651/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/74651/view	(from https://tapmybio.com/dahyn1x)
13:19:02	101/101	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:00%20GMT	https://tapmybio.com/links/72647/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72647/view	(from https://tapmybio.com/dahyn1x)
13:19:02	161/161	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:00%20GMT	https://cdn1.telesco.pe/file/Wm97tlJVjcdIUZkIGXQXI6Ul-FXCR345Jht1hXIY-WqXUhveJA7RXUJW2fxseU2bHTSix6UVQYCnUNPwC3m2xNgt98aHd4HCsSjGuUXD2LDQFUv2-wcnYN9ZGCunDjdHP8b74G1A1GuAURO5jRQ8SA_yIG2ETQjSRabvFgKbSJj7tJT6aOxchAyZBcP8D5LGineZYnIz8vOcLmVtdNsAl9G4boXowmgvXH4RZwmeDUxlmsEorbpRp-rPnHmiOQVvWXMEPgRJSXQLRleJLRie1UcTfDTHyjz74gW59IaJRiy0gL_5jA8QWZe7X7nGFdHB628prXLgglvxk0A3o0yWtQ.jpg	C:/My%20Web%20Sites/dahyn/cdn1.telesco.pe/file/Wm97tlJVjcdIUZkIGXQXI6Ul-FXCR345Jht1hXIY-WqXUhveJA7RXUJW2fxseU2bHTSix6UVQYCnUNPwC3m2xNgt98aHd4HCsSjGuUXD2LDQFUv2-wcnYN9ZGCunDjdHP8b74G1A1GuAURO5jRQ8SA_yIG2ETQjSRabvFgKbSJj7tJT6aOxchAyZBcP8D5LGi	(from https://tapmybio.com/dahyn1x)
13:19:02	21/21	---M--	403	error ('Forbidden')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:00%20GMT	https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-1/p200x200/73087560_1827113510765535_5126574437402935296_n.jpg?_nc_cat=109&_nc_ohc=EWsL_5zm4MUAQnJiNB4JLG4GlwvssOApZbsZK9nxy9-MCyql_Avsd29uw&_nc_ht=scontent-iad3-1.xx&oh=1790c757fc0b4ee1dc31f673c2abb533&oe=5E480432	C:/My%20Web%20Sites/dahyn/scontent-iad3-1.xx.fbcdn.net/v/t1.0-1/p200x200/73087560_1827113510765535_5126574437402935296_n.13fc7d.delayed	(from https://tapmybio.com/dahyn1x)
13:19:02	94/94	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:01%20GMT	https://tapmybio.com/links/72650/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72650/view	(from https://tapmybio.com/dahyn1x)
13:19:03	103/103	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:01%20GMT	https://tapmybio.com/links/72649/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/72649/view	(from https://tapmybio.com/dahyn1x)
13:19:03	21/21	---M--	403	error ('Forbidden')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:01%20GMT	https://scontent-iad3-1.cdninstagram.com/vp/3a5c97bb0b2ba989cf4ba6ae8d28b5e3/5E6AF4F2/t51.2885-19/s150x150/71684769_2531596316894950_2034526987367743488_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com	C:/My%20Web%20Sites/dahyn/scontent-iad3-1.cdninstagram.com/vp/3a5c97bb0b2ba989cf4ba6ae8d28b5e3/5E6AF4F2/t51.2885-19/s150x150/71684769_2531596316894950_2034526987367743488_n.16a17f.delayed	(from https://tapmybio.com/dahyn1x)
13:19:03	94/94	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Apr%202020%2018:19:02%20GMT	https://tapmybio.com/links/74662/view	C:/My%20Web%20Sites/dahyn/tapmybio.com/links/74662/view	(from https://tapmybio.com/dahyn1x)
13:19:04	49926/49926	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Jun%202015%2017:40:52%20GMT	https://www.paypalobjects.com/webstatic/paypalme/images/social/pplogo384.png	C:/My%20Web%20Sites/dahyn/www.paypalobjects.com/webstatic/paypalme/images/social/pplogo384.png	(from https://tapmybio.com/dahyn1x)
13:19:04	22217/22217	---M--	200	added ('OK')	image/svg+xml	etag:%225df7f9a4-56c9%22	https://tapmybio.com/assets/download-badge-869ed4eeaef8de9a45d2617ab955ef88cd53c11f36a987f5aa5995093ec7da98.svg	C:/My%20Web%20Sites/dahyn/tapmybio.com/assets/download-badge-869ed4eeaef8de9a45d2617ab955ef88cd53c11f36a987f5aa5995093ec7da98.svg	(from https://tapmybio.com/dahyn1x)
13:19:05	56902/56902	---M--	200	added ('OK')	image/png	etag:%225d59d6e6-de46%22	https://tapmybio.com/assets/icon-46eb24a828e5fd52ac9f75e1ddf5643e03b098ac282ec2d4d5c251614b89dec9.png	C:/My%20Web%20Sites/dahyn/tapmybio.com/assets/icon-46eb24a828e5fd52ac9f75e1ddf5643e03b098ac282ec2d4d5c251614b89dec9.png	(from https://tapmybio.com/dahyn1x)
13:19:05	182/182	---MC-	500	error ('Internal%20Server%20Error')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:03%20GMT	https://tapmybio.com/login	C:/My%20Web%20Sites/dahyn/tapmybio.com/login.1b.delayed	(from https://tapmybio.com/dahyn1x)
13:19:05	182/182	---MC-	500	error ('Internal%20Server%20Error')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:04%20GMT	https://tapmybio.com/signup	C:/My%20Web%20Sites/dahyn/tapmybio.com/signup	(from https://tapmybio.com/dahyn1x)
13:19:06	182/182	---MC-	500	error ('Internal%20Server%20Error')	text/plain	date:Sat,%2018%20Apr%202020%2018:19:04%20GMT	https://tapmybio.com/	C:/My%20Web%20Sites/dahyn/tapmybio.com/index.html	(from https://tapmybio.com/dahyn1x)
13:19:06	86554/86554	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d59d6e6-1521a%22	https://tapmybio.com/assets/CircularStd-Black-42c1bc0175b5643d949941b142bfdada535ce5cd8562ce8794d5703d9bf7f52e.eot	C:/My%20Web%20Sites/dahyn/tapmybio.com/assets/CircularStd-Black-42c1bc0175b5643d949941b142bfdada535ce5cd8562ce8794d5703d9bf7f52e.eot	(from https://tapmybio.com/assets/application-23c898007eff7b346dc8ef4c8d703e549a796a17dd29c65d060b42e07246e57d.css)
13:19:07	86554/86554	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225d59d6e6-1521a%22	https://tapmybio.com/assets/CircularStd-Black-42c1bc0175b5643d949941b142bfdada535ce5cd8562ce8794d5703d9bf7f52e.eot?	C:/My%20Web%20Sites/dahyn/tapmybio.com/assets/CircularStd-Black-42c1bc0175b5643d949941b142bfdada535ce5cd8562ce8794d5703d9bf7f52ed41d.eot	(from https://tapmybio.com/assets/application-23c898007eff7b346dc8ef4c8d703e549a796a17dd29c65d060b42e07246e57d.css)
13:19:07	38772/38772	---M--	200	added ('OK')	application/font-woff	etag:%225db9c3b5-9774%22	https://tapmybio.com/assets/CircularStd-Black-254a8a695eabff62d7c9e20d8208e98bd82180d401b0fd806006a99b36ce6eda.woff	C:/My%20Web%20Sites/dahyn/tapmybio.com/assets/CircularStd-Black-254a8a695eabff62d7c9e20d8208e98bd82180d401b0fd806006a99b36ce6eda.woff	(from https://tapmybio.com/assets/application-23c898007eff7b346dc8ef4c8d703e549a796a17dd29c65d060b42e07246e57d.css)
